"filename", "language", "Markdown", "Rust", "TOML", "YAML", "XML", "JSON", "Ignore", "comment", "blank", "total"
"c:\Users\shubh\projects\comrade\.github\ISSUE_TEMPLATE\bug_report.md", "Markdown", 25, 0, 0, 0, 0, 0, 0, 0, 7, 32
"c:\Users\shubh\projects\comrade\.github\workflows\rust.yml", "YAML", 0, 0, 0, 17, 0, 0, 0, 0, 6, 23
"c:\Users\shubh\projects\comrade\Cargo.toml", "TOML", 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\shubh\projects\comrade\Comrade.svg", "XML", 0, 0, 0, 0, 35, 0, 0, 0, 1, 36
"c:\Users\shubh\projects\comrade\README.md", "Markdown", 30, 0, 0, 0, 0, 0, 0, 0, 6, 36
"c:\Users\shubh\projects\comrade\comradesyntax\.vscodeignore", "Ignore", 0, 0, 0, 0, 0, 0, 4, 0, 1, 5
"c:\Users\shubh\projects\comrade\comradesyntax\CHANGELOG.md", "Markdown", 5, 0, 0, 0, 0, 0, 0, 0, 4, 9
"c:\Users\shubh\projects\comrade\comradesyntax\README.md", "Markdown", 35, 0, 0, 0, 0, 0, 0, 0, 31, 66
"c:\Users\shubh\projects\comrade\comradesyntax\language-configuration.json", "JSON", 0, 0, 0, 0, 0, 33, 0, 5, 1, 39
"c:\Users\shubh\projects\comrade\comradesyntax\package.json", "JSON", 0, 0, 0, 0, 0, 25, 0, 0, 1, 26
"c:\Users\shubh\projects\comrade\comradesyntax\syntaxes\comrade.tmLanguage.json", "JSON", 0, 0, 0, 0, 0, 42, 0, 0, 1, 43
"c:\Users\shubh\projects\comrade\comradesyntax\vsc-extension-quickstart.md", "Markdown", 19, 0, 0, 0, 0, 0, 0, 0, 11, 30
"c:\Users\shubh\projects\comrade\src\compiler\_enum.rs", "Rust", 0, 16, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\shubh\projects\comrade\src\compiler\_match.rs", "Rust", 0, 40, 0, 0, 0, 0, 0, 0, 3, 43
"c:\Users\shubh\projects\comrade\src\compiler\_struct.rs", "Rust", 0, 23, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Users\shubh\projects\comrade\src\compiler\condition_block.rs", "Rust", 0, 32, 0, 0, 0, 0, 0, 0, 3, 35
"c:\Users\shubh\projects\comrade\src\compiler\expression.rs", "Rust", 0, 23, 0, 0, 0, 0, 0, 1, 4, 28
"c:\Users\shubh\projects\comrade\src\compiler\function.rs", "Rust", 0, 29, 0, 0, 0, 0, 0, 0, 3, 32
"c:\Users\shubh\projects\comrade\src\compiler\function_call.rs", "Rust", 0, 25, 0, 0, 0, 0, 0, 0, 3, 28
"c:\Users\shubh\projects\comrade\src\compiler\math.rs", "Rust", 0, 29, 0, 0, 0, 0, 0, 0, 3, 32
"c:\Users\shubh\projects\comrade\src\compiler\mod.rs", "Rust", 0, 95, 0, 0, 0, 0, 0, 14, 7, 116
"c:\Users\shubh\projects\comrade\src\compiler\statement.rs", "Rust", 0, 67, 0, 0, 0, 0, 0, 3, 6, 76
"c:\Users\shubh\projects\comrade\src\compiler\variable_assignment.rs", "Rust", 0, 51, 0, 0, 0, 0, 0, 0, 5, 56
"c:\Users\shubh\projects\comrade\src\errors.rs", "Rust", 0, 38, 0, 0, 0, 0, 0, 0, 10, 48
"c:\Users\shubh\projects\comrade\src\lexer.rs", "Rust", 0, 191, 0, 0, 0, 0, 0, 30, 17, 238
"c:\Users\shubh\projects\comrade\src\lib.rs", "Rust", 0, 281, 0, 0, 0, 0, 0, 32, 20, 333
"c:\Users\shubh\projects\comrade\src\main.rs", "Rust", 0, 71, 0, 0, 0, 0, 0, 3, 12, 86
"c:\Users\shubh\projects\comrade\src\parser\_enum.rs", "Rust", 0, 23, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Users\shubh\projects\comrade\src\parser\_for.rs", "Rust", 0, 28, 0, 0, 0, 0, 0, 0, 2, 30
"c:\Users\shubh\projects\comrade\src\parser\_if.rs", "Rust", 0, 82, 0, 0, 0, 0, 0, 6, 4, 92
"c:\Users\shubh\projects\comrade\src\parser\_match.rs", "Rust", 0, 66, 0, 0, 0, 0, 0, 0, 4, 70
"c:\Users\shubh\projects\comrade\src\parser\_struct.rs", "Rust", 0, 59, 0, 0, 0, 0, 0, 0, 10, 69
"c:\Users\shubh\projects\comrade\src\parser\_while.rs", "Rust", 0, 19, 0, 0, 0, 0, 0, 0, 2, 21
"c:\Users\shubh\projects\comrade\src\parser\booleans.rs", "Rust", 0, 16, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\shubh\projects\comrade\src\parser\extern_c.rs", "Rust", 0, 15, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\shubh\projects\comrade\src\parser\fun.rs", "Rust", 0, 89, 0, 0, 0, 0, 0, 5, 11, 105
"c:\Users\shubh\projects\comrade\src\parser\fun_call.rs", "Rust", 0, 54, 0, 0, 0, 0, 0, 5, 8, 67
"c:\Users\shubh\projects\comrade\src\parser\include_n_return_n_erase.rs", "Rust", 0, 21, 0, 0, 0, 0, 0, 0, 2, 23
"c:\Users\shubh\projects\comrade\src\parser\math.rs", "Rust", 0, 67, 0, 0, 0, 0, 0, 1, 8, 76
"c:\Users\shubh\projects\comrade\src\parser\mod.rs", "Rust", 0, 390, 0, 0, 0, 0, 0, 32, 16, 438
"c:\Users\shubh\projects\comrade\src\parser\variable_assignment.rs", "Rust", 0, 77, 0, 0, 0, 0, 0, 2, 4, 83
"c:\Users\shubh\projects\comrade\src\type_checker\mod.rs", "Rust", 0, 153, 0, 0, 0, 0, 0, 3, 10, 166
"c:\Users\shubh\projects\comrade\tests\booleans.rs", "Rust", 0, 30, 0, 0, 0, 0, 0, 0, 2, 32
"c:\Users\shubh\projects\comrade\tests\const.rs", "Rust", 0, 50, 0, 0, 0, 0, 0, 0, 3, 53
"c:\Users\shubh\projects\comrade\tests\enum.rs", "Rust", 0, 32, 0, 0, 0, 0, 0, 0, 2, 34
"c:\Users\shubh\projects\comrade\tests\erase.rs", "Rust", 0, 29, 0, 0, 0, 0, 0, 0, 2, 31
"c:\Users\shubh\projects\comrade\tests\function_call.rs", "Rust", 0, 87, 0, 0, 0, 0, 0, 0, 2, 89
"c:\Users\shubh\projects\comrade\tests\functions.rs", "Rust", 0, 60, 0, 0, 0, 0, 0, 0, 2, 62
"c:\Users\shubh\projects\comrade\tests\if.rs", "Rust", 0, 63, 0, 0, 0, 0, 0, 0, 2, 65
"c:\Users\shubh\projects\comrade\tests\include.rs", "Rust", 0, 45, 0, 0, 0, 0, 0, 0, 2, 47
"c:\Users\shubh\projects\comrade\tests\let.rs", "Rust", 0, 50, 0, 0, 0, 0, 0, 0, 3, 53
"c:\Users\shubh\projects\comrade\tests\match.rs", "Rust", 0, 166, 0, 0, 0, 0, 0, 0, 2, 168
"c:\Users\shubh\projects\comrade\tests\math.rs", "Rust", 0, 51, 0, 0, 0, 0, 0, 0, 3, 54
"c:\Users\shubh\projects\comrade\tests\public.rs", "Rust", 0, 50, 0, 0, 0, 0, 0, 0, 2, 52
"c:\Users\shubh\projects\comrade\tests\return.rs", "Rust", 0, 72, 0, 0, 0, 0, 0, 0, 3, 75
"c:\Users\shubh\projects\comrade\tests\struct.rs", "Rust", 0, 39, 0, 0, 0, 0, 0, 0, 2, 41
"c:\Users\shubh\projects\comrade\tests\while.rs", "Rust", 0, 108, 0, 0, 0, 0, 0, 0, 2, 110
"Total", "-", 114, 3102, 7, 17, 35, 100, 4, 142, 295, 3816